Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,12307,ECIV,350,1,COL,3,30 - Columbia Full Term,Introduction to Environmental Engineering,TR,08:30 am-09:45 am,45,44,1,Anthony Stephen McAnally (P),08/24-12/08,300MN B103, ,
NR,28743,ECIV,350,2,COL,3,30 - Columbia Full Term,Introduction to Environmental Engineering,TR,08:30 am-09:45 am,10,9,1,Anthony Stephen McAnally (P),08/24-12/08,300MN B103, ,
NR,25623,ECIV,350,H10,COL,3,30 - Columbia Full Term,HNRS: Introduction to Environmental Engineering,TR,08:30 am-09:45 am,3,1,2,Anthony Stephen McAnally (P),08/24-12/08,300MN B103,SC Honors College,
C,12308,ECIV,350L,1,COL,1,30 - Columbia Full Term,Introduction to Environmental Engineering Laboratory,T,01:15 pm-04:15 pm,16,16,0,Yeomin Yoon (P),08/24-12/08,300MN B112, ,
NR,12309,ECIV,360,1,COL,3,30 - Columbia Full Term,Fluid Mechanics,TR,11:40 am-12:55 pm,40,39,1,Enrica Viparelli (P),08/24-12/08,300MN B101, ,
NR,12311,ECIV,362,1,COL,3,30 - Columbia Full Term,Introduction to Water Resources Engineering,MWF,10:50 am-11:40 am,39,37,2,Michael Edward Meadows (P),08/24-12/08,300MN B102, ,
NR,12312,ECIV,470,1,COL,4,30 - Columbia Full Term,Civil Engineering Design,MWF,12:00 pm-12:50 pm,39,23,16,Michael Edward Meadows (P), Jeffrey Scott Mulliken,08/24-12/08,300MN B102,INT Integrative
 , , , , , , , , ,W,01:10 pm-02:00 pm, , , ,Michael Edward Meadows (P), Jeffrey Scott Mulliken,08/24-12/08,300MN B102,INT Integrative
NR,12284,ECIV,490,1,COL,3,30 - Columbia Full Term,Topic: Industrial Sustainability,F,08:40 am-11:40 am,23,8,15,Paul H. Ziehl (P),08/27-09/14,SWGN 1A20,GLD: Research,
 , , , , , , , , ,F,08:40 am-11:40 am, , , ,Paul H. Ziehl (P),09/17-10/19,SWGN 1A20,GLD: Research,
 , , , , , , , , ,F,08:40 am-11:40 am, , , ,Paul H. Ziehl (P),10/22-11/02,SWGN 1A20,GLD: Research,
 , , , , , , , , ,F,08:40 am-11:40 am, , , ,Paul H. Ziehl (P),11/05-11/30,SWGN 1A20,GLD: Research,
 , , , , , , , , ,F,08:40 am-11:40 am, , , ,Paul H. Ziehl (P),12/03-12/08,SWGN 1A20,GLD: Research,
NR,12387,ECIV,490,2,COL,3,30 - Columbia Full Term,Topic: River Basin Management,MW,08:05 am-09:20 am,15,4,11,Seyedehzahra Samadi (P), Enrica Viparelli,08/24-12/08,300MN B205,GLD: Research
NR,21949,ECIV,490,3,COL,3,30 - Columbia Full Term,Topic: Earth Structures,MW,08:05 am-09:20 am,30,28,2,Sarah Lyn Gassman Pierce (P),08/24-12/08,300MN B102,GLD: Research,
NR,25969,ECIV,490,4,COL,3,30 - Columbia Full Term,Topic: Geographical Information Systems in Water Resources,MWF,09:40 am-10:30 am,12,5,7,Seyedehzahra Samadi (P),08/24-12/08,300MN B205,GLD: Research,
NR,12293,ECIV,497,1,COL,1,30 - Columbia Full Term,Fundamentals of Engineering Preparation,TR,04:25 pm-05:40 pm,25,4,21,Joseph V. Flora (P),08/24-12/08,300MN B101, ,
C,24290,ECIV,499,1,COL,1.000-3.000,30 - Columbia Full Term,Independent Study/Research in Civil and Environmental Engineering, ,TBA,1,1,0,Inthuorn Sasanakul (P),08/24-12/08,TBA,GLD: Research,
C,30198,ECIV,499,2,COL,1.000-3.000,30 - Columbia Full Term,Independent Study/Research in Civil and Environmental Engineering., ,TBA,1,1,0,Charles Edward Pierce (P),08/24-12/08,TBA,GLD: Research,
NR,12295,ECIV,520,1,COL,3,30 - Columbia Full Term,Structural Analysis II,TR,11:40 am-12:55 pm,26,19,7,Dimitrios C Rizos (P),08/24-12/08,SWGN 2A05, ,
NR,12303,ECIV,520,6,COL,3,30 - Columbia Full Term,Structural Analysis II,TR,11:40 am-12:55 pm,28,3,25,Dimitrios C Rizos (P),08/24-12/08,WEB COLUMBIA, ,
C,12298,ECIV,520,H10,COL,3,30 - Columbia Full Term,HNRS: Structural Analysis II,TR,11:40 am-12:55 pm,2,2,0,Dimitrios C Rizos (P),08/24-12/08,SWGN 2A05,SC Honors College,
NR,16891,ECIV,526,1,COL,3,30 - Columbia Full Term,Timber and Masonry Design,MW,03:55 pm-05:10 pm,39,35,4,Chimin Jimmy Chao (P),08/24-12/08,300MN B102, ,
NR,12310,ECIV,540,1,COL,3,30 - Columbia Full Term,Transportation Systems Planning,TR,11:40 am-12:55 pm,38,12,26,Lee L Tupper (P),08/24-12/08,300MN B111, ,
C,20585,ECIV,541,1,COL,3,30 - Columbia Full Term,Highway Design,TR,08:30 am-09:45 am,26,27,-1,Susan M. Ruinen (P),08/24-12/08,300MN B102, ,
C,20586,ECIV,541,H10,COL,3,30 - Columbia Full Term,HNRS: Highway Design,TR,08:30 am-09:45 am,2,3,-1,Susan M. Ruinen (P),08/24-12/08,300MN B102,SC Honors College,
NR,21929,ECIV,551,1,COL,3,30 - Columbia Full Term,Elements of Water and Wastewater Treatment,MW,02:20 pm-03:35 pm,34,19,15,Anthony Stephen McAnally (P),08/24-12/08,300MN B102, ,
C,21930,ECIV,551,H10,COL,3,30 - Columbia Full Term,HNRS: Elements of Water and Wastewater Treatment,MW,02:20 pm-03:35 pm,2,2,0,Anthony Stephen McAnally (P),08/24-12/08,300MN B102,SC Honors College,
NR,25150,ECIV,558,1,COL,3,30 - Columbia Full Term,Environmental Engineering Process Modeling,TR,01:15 pm-02:30 pm,28,7,21,Shamia Hoque (P),08/24-12/08,SWGN 1A20, ,
NR,25154,ECIV,558,6,COL,3,30 - Columbia Full Term,Environmental Engineering Process Modeling,TR,01:15 pm-02:30 pm,23,2,21,Shamia Hoque (P),08/24-12/08,WEB COLUMBIA, ,
NR,13342,ECIV,560,1,COL,3,30 - Columbia Full Term,Open Channel Hydraulics,TR,10:05 am-11:20 am,36,29,7,M. Hanif Chaudhry (P),08/24-12/08,300MN B112, ,
NR,12318,ECIV,580,1,COL,3,30 - Columbia Full Term,Railway Engineering I,TR,02:50 pm-04:05 pm,28,24,4,Dallas R Richards (P),08/24-12/08,SWGN 2A11, ,
NR,12329,ECIV,580,6,COL,3,30 - Columbia Full Term,Railway Engineering I,TR,02:50 pm-04:05 pm,28,2,26,Dallas R Richards (P),08/24-12/08,WEB COLUMBIA, ,
NR,30180,ECIV,720,1,COL,3,30 - Columbia Full Term,Advanced Structural Mechanics and Analysis, ,TBA,5,2,3,Robert Louis Mullen (P),08/24-12/08,TBA, ,
C,30181,ECIV,725,1,COL,3,30 - Columbia Full Term,Advanced Analysis and Design in Structural Metals, ,TBA,2,2,0,Dimitrios C Rizos (P),08/24-12/08,TBA, ,
NR,12315,ECIV,728,1,COL,3,30 - Columbia Full Term,Prestressed Concrete Analysis and Design,TR,10:05 am-11:20 am,28,2,26,Paul H. Ziehl (P),08/24-12/08,SWGN 2A05, ,
NR,16895,ECIV,728,6,COL,3,30 - Columbia Full Term,Prestressed Concrete Analysis and Design,TR,10:05 am-11:20 am,28,2,26,Paul H. Ziehl (P),08/24-12/08,WEB COLUMBIA, ,
NR,25189,ECIV,730,1,COL,3,30 - Columbia Full Term,Advanced Soil Mechanics,MW,11:00 am-12:15 pm,23,2,21,Sarah Lyn Gassman Pierce (P),08/24-12/08,SWGN 2A07, ,
NR,25190,ECIV,730,6,COL,3,30 - Columbia Full Term,Advanced Soil Mechanics,MW,11:00 am-12:15 pm,23,5,18,Sarah Lyn Gassman Pierce (P),08/24-12/08,WEB COLUMBIA, ,
NR,25177,ECIV,734,1,COL,3,30 - Columbia Full Term,Dynamics of Soils and Foundations,TR,10:05 am-11:20 am,28,3,25,Inthuorn Sasanakul (P),08/24-12/08,SWGN 2A11, ,
NR,25178,ECIV,734,6,COL,3,30 - Columbia Full Term,Dynamics of Soils and Foundations,TR,10:05 am-11:20 am,28,1,27,Inthuorn Sasanakul (P),08/24-12/08,WEB COLUMBIA, ,
NR,25176,ECIV,752,6,COL,3,30 - Columbia Full Term,Water and Wastewater Treatment Theory II,MW,09:30 am-10:45 am,28,1,27,Nicole D Berge (P),08/24-12/08,WEB COLUMBIA, ,
NR,18052,ECIV,765,1,COL,3,30 - Columbia Full Term,Erosion and Sediment Control,TR,11:40 am-12:55 pm,39,1,38,Michael Edward Meadows (P),08/24-12/08,300MN B102, ,
NR,25179,ECIV,784,1,COL,3,30 - Columbia Full Term,Dynamic Analysis of Railway Systems,TR,08:30 am-09:45 am,22,2,20,Dimitrios C Rizos (P),08/24-12/08,SWGN 2A07, ,
NR,25180,ECIV,784,6,COL,3,30 - Columbia Full Term,Dynamic Analysis of Railway Systems,TR,08:30 am-09:45 am,22,2,20,Dimitrios C Rizos (P),08/24-12/08,WEB COLUMBIA, ,
NR,25183,ECIV,790,1,COL,3.000-9.000,30 - Columbia Full Term,Selected Topics in Civil Engineering,MW,09:30 am-10:45 am,28,2,26,Nathan Nhan Huynh (P),08/24-12/08,SWGN 2A05, ,
NR,25187,ECIV,790,3,COL,3,30 - Columbia Full Term,Topic: Advanced Technologies for Emerging Contaminants in Water Treatment,TR,10:05 am-11:20 am,10,3,7,Yeomin Yoon (P),08/24-12/08,300MN B111, ,
NR,25185,ECIV,790,6,COL,3.000-9.000,30 - Columbia Full Term,Selected Topics in Civil Engineering,MW,09:30 am-10:45 am,28,0,28,Nathan Nhan Huynh (P),08/24-12/08,WEB COLUMBIA, ,
NR,12388,ECIV,797,1,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,0,50,Nicole D Berge (P),08/24-12/08,TBA, ,
NR,16032,ECIV,797,2,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,1,49,Juan M. Caicedo (P),08/24-12/08,TBA, ,
NR,16587,ECIV,797,3,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,0,50,Sarah Lyn Gassman Pierce (P),08/24-12/08,TBA, ,
NR,17018,ECIV,797,4,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,1,49,Nathan Nhan Huynh (P),08/24-12/08,TBA, ,
NR,17019,ECIV,797,5,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,2,48,Fabio Matta (P),08/24-12/08,TBA, ,
NR,17021,ECIV,797,6,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,0,50,Enrica Viparelli (P),08/24-12/08,TBA, ,
NR,17743,ECIV,797,7,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,0,50,Yeomin Yoon (P),08/24-12/08,TBA, ,
NR,18032,ECIV,797,8,COL,1.000-12.000,30 - Columbia Full Term,Research in Civil Engineering, ,TBA,50,0,50,Paul H. Ziehl (P),08/24-12/08,TBA, ,
